original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"9 Duncan Close Mouhon Industrial Business Park,Northampton NN3 1WL",1467,4,52.278558,-0.879155,"Duncan Close, Northampton, NN3 1WL, United Kingdom",,,Duncan Close,,NN3 1WL,,Northampton,West Northamptonshire,,England,ENG,United Kingdom,gb,0.16666666666666669,1,0.33333333333333337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9 Duncan Close Moulton Industrial Business Park,Northampton NN3 1WL",1468,4,52.247383,-0.894646,"Northampton, NN3 1WL, United Kingdom",,,,,NN3 1WL,,Northampton,West Northamptonshire,,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"9 Falcon Paek,Neasden Lane,London,NW1O 1RZ",1469,4,51.5593771,-0.2500979,"EasyFix, 247 Neasden Lane, London, NW10 1QG, United Kingdom",EasyFix,247,Neasden Lane,Dudden Hill,NW10 1QG,London Borough of Brent,London,Greater London,,England,ENG,United Kingdom,gb,0.1125,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9 Lower John St.,London W1R 3PE",1470,4,51.511053,-0.137044,"Lower John Street, London, W1R 3PE, United Kingdom",,,Lower John Street,Soho,W1R 3PE,Westminster,London,London,,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9 Old Bond St.,London W1",1471,4,51.5086014,-0.1403614,"La Perla, 9 Old Bond Street, London, W1S 4PP, United Kingdom",La Perla,9,Old Bond Street,Mayfair,W1S 4PP,St. James's,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9-13 Fenchurch Bldg.,London,EC3M 5HR",1472,4,51.514993,-0.092813,"City of London, London, EC3M 5HR, United Kingdom",City of London,,,,EC3M 5HR,City of London,London,London,,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"9-13 St.Andrew St.,London,EC4A 3AE",1473,4,51.51691,-0.10713,"City of London, EC4A 3AE, United Kingdom",,,,,EC4A 3AE,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9,Clifford St.,London W1X 2LD",1474,4,51.510975,-0.142266,"9 Clifford Street, London, W1S 4JZ, United Kingdom",,9,Clifford Street,Mayfair,W1S 4JZ,Westminster,London,London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9.Clifford St.,London W1X 2LD",1475,4,51.5109586,-0.1413844,"Buck's Gentlemen's Club, 18 Clifford Street, London, W1S 3RF, United Kingdom",Buck's Gentlemen's Club,18,Clifford Street,Mayfair,W1S 3RF,St. James's,London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9/13 S.Andrew St.,London ECA4 3AE",1476,4,51.51687,-0.106573,"9-13 St Andrew Street, London, EC1N 2HB, United Kingdom",,9-13,St Andrew Street,Blackfriars,EC1N 2HB,City of London,London,London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9/13 St.Andrew St.,London EC4A 3AE",1477,4,51.51691,-0.10713,"City of London, EC4A 3AE, United Kingdom",,,,,EC4A 3AE,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9/13 St.Andrew St.,London ECA4 3AE",1478,4,51.51687,-0.106573,"9-13 St Andrew Street, London, EC1N 2HB, United Kingdom",,9-13,St Andrew Street,Blackfriars,EC1N 2HB,City of London,London,London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"90 High Holborn,London,WC1V 6XX",1479,4,51.5178874,-0.1178574,"Starbucks, 90 High Holborn, London, WC1V 6LF, United Kingdom",Starbucks,90,High Holborn,Holborn,WC1V 6LF,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
